time,OS,resolution,name,average,min,max
2023-01-21 00-18-10,macOS,3200x1800,SingleCubePerformanceTest,401.084,358.578,422.76
2023-01-21 18-55-42,macOS,3200x1800,SingleCubePerformanceTest,382.837,368.944,389.863
2023-01-24 22-11-38,macOS,3200x1800,SingleCubePerformanceTest,423.95,398.597,430.576
2023-01-24 23-53-15,macOS,3200x1800,SingleCubePerformanceTest,374.092,343.852,385.591
2023-01-24 23-53-41,macOS,3200x1800,SingleCubePerformanceTest,388.859,375.738,414.488
2023-01-24 23-53-54,macOS,3200x1800,SingleCubePerformanceTest,394.721,381.326,418.199
2023-01-26 22-51-25,macOS,2048x1536,SingleCubePerformanceTest,633.531,578.47,705.517
2023-01-26 22-52-44,macOS,1600x900,SingleCubePerformanceTest,1557.62,1380.59,1603.4
2023-01-26 22-56-42,macOS,1600x900,SingleCubePerformanceTest,1542.5,1369.24,1601.3
2023-01-26 23-16-13,macOS,1600x900,SingleCubePerformanceTest,1423.11,1316.75,1514.79
2023-01-26 23-17-44,macOS,1600x900,SingleCubePerformanceTest,1562.61,1399.43,1605.88
2023-06-18 23-26-09,windows,800x450,SingleCubePerformanceTest,4308.16,4078.77,4614.31
2023-06-18 23-53-13,windows,1600x900,SingleCubePerformanceTest,4721.92,4248.49,5027.48
2023-06-18 23-59-18,windows,1600x900,SingleCubePerformanceTest,2045.66,0.9124,4090.94
2023-06-30 12-03-56,windows,1600x900,SingleCubePerformanceTest,4570.68,3352.42,5135.81
2023-07-01 13-08-17,windows,1600x900,SingleCubePerformanceTest,4523.87,3074.6,4908.93
2023-07-03 00-38-39,windows,1600x900,SingleCubePerformanceTest,4647.49,3151.3,5130.56
2023-07-05 01-57-24,windows,1600x900,SingleCubePerformanceTest,4242.58,2385.99,4934.53
2023-07-05 11-41-18,windows,1600x900,SingleCubePerformanceTest,4531.58,3012.94,5090.67
2023-07-05 11-50-26,windows,1600x900,ManyCubePerformanceTest,47.334,43.4701,48.8283
2023-07-05 11-52-25,windows,1600x900,ManyCubePerformanceTest,48.1081,44.3513,49.5975
2023-07-05 11-54-19,windows,1600x900,ManyCubePerformanceTest,43.0356,37.5886,45.1397
2023-07-05 17-00-33,windows,1600x900,SingleCubePerformanceTest,4590.35,3158.98,5003.94
2023-07-05 22-43-05,windows,1600x900,SingleCubePerformanceTest,4561.54,3074.78,4999.44
2023-07-05 22-43-55,windows,1600x900,SingleCubePerformanceTest,4462.87,2732.26,5009.82
2023-07-05 22-47-54,windows,1600x900,SingleCubePerformanceTest,4426.2,2587.7,5030.36
2023-07-05 23-00-20,windows,1600x900,SingleCubePerformanceTest,4413.35,2915.35,5058.48
2023-07-05 23-04-50,windows,1600x900,SingleCubePerformanceTest,4409.66,2583.9,4996.11
2023-07-05 23-04-55,windows,1600x900,ManyCubePerformanceTest,35.7984,22.2183,76.3551
2023-07-06 14-00-42,windows,1600x900,SingleCubePerformanceTest,4328.23,3394.18,4887.9
2023-07-06 14-00-47,windows,1600x900,ManyCubePerformanceTest,32.6926,21.2258,66.2988
2023-07-06 15-52-40,windows,1600x900,SingleCubePerformanceTest,4441.35,2666.68,4965.15
2023-07-06 15-52-45,windows,1600x900,ManyCubePerformanceTest,34.5465,17.9873,83.0202
2023-07-06 23-02-19,windows,1600x900,SingleCubePerformanceTest,4013.89,2722.52,4762.31
2023-07-06 23-02-24,windows,1600x900,ManyCubePerformanceTest,28.4398,16.5594,63.3494
2023-07-06 23-07-26,windows,1600x900,SingleCubePerformanceTest,4358.4,2848.42,4921.26
2023-07-06 23-07-31,windows,1600x900,ManyCubePerformanceTest,18.8152,18.2317,20.0722
2023-07-07 00-54-30,windows,1600x900,SingleCubePerformanceTest,4729.42,3368.99,5161.02
2023-07-07 00-54-35,windows,1600x900,ManyCubePerformanceTest,37.4197,23.5387,78.879
2023-07-07 11-39-37,windows,1600x900,SingleCubePerformanceTest,3725.59,2378.89,4879.17
2023-07-07 11-39-42,windows,1600x900,ManyCubePerformanceTest,40.3032,22.4402,93.2118
2023-07-07 15-50-37,windows,1600x900,SingleCubePerformanceTest,4460.61,2864.52,4945.53
2023-07-07 15-50-43,windows,1600x900,ManyCubePerformanceTest,26.8573,22.9069,37.8495
2023-07-08 01-33-29,windows,1600x900,SingleCubePerformanceTest,2380.83,97.9321,4280.57
2023-07-08 01-33-34,windows,1600x900,ManyCubePerformanceTest,35.0236,22.5731,71.3807
2023-07-09 22-02-00,dots,1080x2337,ManyCubePerformanceTest,1.51,1.51,1.512023-07-09 22-05-06,windows,1600x900,SingleCubePerformanceTest,4599.52,3464.95,4953.42
2023-07-09 22-05-12,windows,1600x900,ManyCubePerformanceTest,42.0081,32.6128,68.8922
2023-07-09 22-06-24,windows,1600x900,SingleCubePerformanceTest,4615.78,3422.72,4949.33
2023-07-09 22-06-29,windows,1600x900,ManyCubePerformanceTest,40.8691,32.3795,65.1329
2023-07-09 22-06-34,windows,1600x900,ManyCubeAxisPerformanceTest,4.92053,0.3409,14.0365
2023-07-09 22-06-34,android,1080x2400,ManyCubeAxisPerformanceTest,2.13,1.6216,3.3617
